sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_R64 proton,alpha_ratio_R64 neutron,alpha_ratio_R64 deuteron,alpha_ratio_R64 pp,alpha_ratio_R64 nn,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.475,0,0.5889391025864382,0.5889391025864379,0.026629553041424343,0.03243845526116637,0.11784969133256533,0.10651821216569737,0.12975382104466548,2.3557564103457524,9.42302564138301,5.319948353857347,5.319948353857347
-0.4725,0,0.5887222809893671,0.5887222809893666,0.027260332962616252,0.03313800154756602,0.12050999580488757,0.10904133185046501,0.13255200619026408,2.354889123957467,9.419556495829868,5.318005224727842,5.318005224727842
-0.47,0,0.5885017613015148,0.5885017613015145,0.027909566138733112,0.03385726821397132,0.12324664133010667,0.11163826455493245,0.1354290728558853,2.354007045206059,9.416028180824236,5.316028950857019,5.316028950857019
-0.4675,0,0.5882774576602636,0.5882774576602633,0.02857790480839816,0.03459693966040219,0.12606230103294735,0.11431161923359263,0.13838775864160877,2.3531098306410536,9.412439322564214,5.3140187626029505,5.3140187626029505
-0.46499999999999997,0,0.5880492816606344,0.5880492816606342,0.029266028440616362,0.03535772856653189,0.12895975905339654,0.11706411376246545,0.14143091426612756,2.352197126642537,9.408788506570149,5.3119738675319255,5.3119738675319255
-0.4625,0,0.5878171422632094,0.5878171422632091,0.02997464505255864,0.03614037725153453,0.1319419159017805,0.11989858021023456,0.14456150900613812,2.351268569052837,9.405074276211348,5.3098934495928365,5.3098934495928365
-0.46,0,0.5875809456980947,0.5875809456980943,0.030704492600155613,0.03694565910874938,0.13501179410908604,0.12281797040062245,0.14778263643499753,2.3503237827923784,9.401295131169515,5.307776668256108,5.307776668256108
-0.4575,0,0.5873405953647185,0.5873405953647182,0.031456340446035784,0.03777438011980804,0.1381725441908872,0.12582536178414314,0.15109752047923217,2.3493623814588735,9.397449525835496,5.305622657615245,5.305622657615245
-0.455,0,0.587095991727262,0.587095991727262,0.03223099090966161,0.03862738045319635,0.14142745094452777,0.12892396363864644,0.1545095218127854,2.348383966909048,9.393535867636192,5.303430525449236,5.303430525449236
-0.4525,0,0.5868470322055008,0.5868470322055008,0.03302928090485395,0.039505536152567786,0.1447799401005732,0.1321171236194158,0.15802214461027114,2.3473881288220033,9.389552515288013,5.301199352243784,5.301199352243784
-0.45,0,0.5865936110608186,0.5865936110608181,0.03385208367026324,0.04040976092050017,0.14823358535103223,0.13540833468105296,0.1616390436820007,2.3463744442432737,9.385497776973095,5.298928190169245,5.298928190169245
-0.4475,0,0.586335619277147,0.586335619277147,0.034700310598739174,0.041341008003790855,0.15179211577844115,0.1388012423949567,0.16536403201516342,2.345342477108588,9.381369908434351,5.296616062013088,5.296616062013088
-0.445,0,0.586072944436573,0.586072944436573,0.03557491317197783,0.04230027218682103,0.1554594237116289,0.1422996526879113,0.16920108874728412,2.344291777746292,9.377167110985168,5.2942619600644925,5.2942619600644925
-0.4425,0,0.5858054705893294,0.5858054705893292,0.03647688500728262,0.04328859189998759,0.15923957303583358,0.14590754002913048,0.17315436759995037,2.343221882357317,9.37288752942927,5.291864844948584,5.291864844948584
-0.44,0,0.5855330781178736,0.5855330781178733,0.03740726402377343,0.04430705145071001,0.16313680798685068,0.14962905609509372,0.17722820580284004,2.342132312471494,9.368529249885977,5.289423644407676,5.289423644407676
-0.4375,0,0.5852556435947506,0.5852556435947502,0.038367134735913334,0.04535678338506568,0.16715556246106025,0.15346853894365334,0.18142713354026271,2.3410225743790014,9.364090297516006,5.286937252026749,5.286937252026749
-0.435,0,0.584973039633899,0.5849730396338984,0.039357630682801,0.04643897098869895,0.171300469875518,0.157430522731204,0.1857558839547958,2.339892158535595,9.35956863414238,5.284404525900103,5.284404525900103
-0.4325,0,0.5846851347350499,0.5846851347350493,0.04037993700230431,0.04755485093628899,0.1755763736148308,0.16151974800921723,0.19021940374515597,2.3387405389401987,9.354962155760795,5.2818242872360965,5.2818242872360965
-0.43,0,0.5843917931208573,0.5843917931208571,0.04143529315978917,0.048705716099555985,0.17998833810428225,0.1657411726391567,0.19482286439822394,2.337567172483429,9.350268689933715,5.279195318896669,5.279195318896669
-0.4275,0,0.5840928745663403,0.5840928745663403,0.04252499584192898,0.04989291852452979,0.1845416605516271,0.17009998336771592,0.19957167409811916,2.336371498265361,9.345485993061445,5.2765163638679375,5.2765163638679375
-0.425,0,0.5837882342202453,0.5837882342202453,0.043650402026879476,0.05111787258962398,0.18924188340320935,0.1746016081075179,0.20447149035849593,2.335152936880981,9.340611747523925,5.273786123658273,5.273786123658273
-0.4225,0,0.5834777224178492,0.583477722417849,0.04481293224296185,0.05238205835693154,0.19409480756351924,0.1792517289718474,0.20952823342772617,2.3339108896713965,9.335643558685588,5.271003256619697,5.271003256619697
-0.42,0,0.5831611844847602,0.5831611844847602,0.04601407402893572,0.05368702513011885,0.19910650643110636,0.18405629611574287,0.2147481005204754,2.3326447379390407,9.330578951756163,5.268166376188422,5.268166376188422
-0.4175,0,0.5828384605311812,0.5828384605311812,0.04725538560995524,0.05503439523332635,0.20428334080785027,0.18902154243982097,0.2201375809333054,2.3313538421247246,9.325415368498899,5.26527404903995,5.26527404903995
-0.415,0,0.5825093852361173,0.5825093852361171,0.04853849980440749,0.05642586802661194,0.20963197474305745,0.19415399921762996,0.22570347210644776,2.3300375409444687,9.320150163777877,5.262324793153903,5.262324793153903
-0.4125,0,0.582173787620943,0.5821737876209427,0.049865128178026484,0.05786322417469388,0.2151593923786829,0.19946051271210594,0.23145289669877553,2.3286951504837714,9.314780601935087,5.259317075783471,5.259317075783471
-0.41000000000000003,0,0.581831490811725,0.5818314908117246,0.051237065462982435,0.0593483301870809,0.2208729158672513,0.20494826185192974,0.2373933207483236,2.3273259632468997,9.309303852987599,5.2562493113239475,5.2562493113239475
-0.4075,0,0.5814823117896405,0.5814823117896405,0.05265619426105997,0.060883143249120635,0.22678022443976342,0.21062477704423987,0.24353257299648254,2.325929247158562,9.303716988634248,5.253119859074539,5.253119859074539
-0.405,0,0.5811260611288079,0.5811260611288076,0.054124490051585074,0.062469716365075346,0.23288937470712492,0.2164979602063403,0.24987886546030139,2.3245042445152313,9.298016978060925,5.249927020887208,5.249927020887208
-0.40249999999999997,0,0.5807625427207835,0.5807625427207835,0.055644026526441265,0.0641102038360465,0.2392088222854193,0.22257610610576506,0.256440815344186,2.323050170883134,9.292200683532537,5.24666903869597,5.24666903869597
-0.4,0,0.5803915534849273,0.5803915534849269,0.05721698127634677,0.06580686709743985,0.24574744484275027,0.2288679251053871,0.2632274683897594,2.3215662139397084,9.286264855758834,5.243344091919376,5.243344091919376
-0.39749999999999996,0,0.5800128830638069,0.5800128830638067,0.05884564185456986,0.06756208094270552,0.2525145666734728,0.23538256741827945,0.2702483237708221,2.3200515322552273,9.28020612902091,5.239950294728832,5.239950294728832
-0.395,0,0.5796263135027273,0.5796263135027271,0.06053241224643806,0.06937834016231113,0.2595199849144411,0.24212964898575223,0.27751336064924453,2.318505254010909,9.274021016043635,5.236485693174488,5.236485693174488
-0.3925,0,0.5792316189124243,0.579231618912424,0.06227981977538868,0.07125826662934226,0.26677399752755143,0.2491192791015547,0.28503306651736904,2.3169264756496966,9.267705902598788,5.232948262160111,5.232948262160111
-0.39,0,0.5788285651138918,0.5788285651138916,0.06409052247891292,0.07320461686578286,0.2742874331833882,0.2563620899156517,0.29281846746313145,2.3153142604555668,9.261257041822267,5.229335902257682,5.229335902257682
-0.3875,0,0.5784169092642383,0.578416909264238,0.0659673169906052,0.07522029012644087,0.2820716831923246,0.2638692679624208,0.30088116050576347,2.3136676370569527,9.25467054822781,5.225646436351812,5.225646436351812
-0.385,0,0.5779963994623836,0.5779963994623832,0.06791314696765369,0.0773083370406699,0.2901387356420462,0.27165258787061475,0.3092333481626796,2.311985597849534,9.247942391398135,5.221877606103303,5.221877606103303
-0.3825,0,0.5775667743333428,0.5775667743333426,0.0699311121065371,0.07947196885553261,0.29850121191431833,0.2797244484261484,0.31788787542213043,2.3102670973333703,9.241068389333485,5.218027068220608,5.218027068220608
-0.38,0,0.5771277625897223,0.5771277625897223,0.07202447779344744,0.08171456732787775,0.3071724057689744,0.28809791117378974,0.326858269311511,2.3085110503588893,9.234044201435557,5.214092390526867,5.214092390526867
-0.3775,0,0.576679082568986,0.5766790825689858,0.0741966854400905,0.08403969531701345,0.3161663251997903,0.296786741760362,0.3361587812680538,2.3067163302759437,9.226865321103775,5.2100710478095635,5.2100710478095635
-0.375,0,0.5762204417449152,0.5762204417449147,0.07645136356003981,0.08645110813426787,0.3254977372851758,0.30580545424015926,0.3458044325370715,2.3048817669796597,9.219527067918643,5.205960417438631,5.205960417438631
