config,sigma_t,r_fm,E_strong_MeV,E_coulomb_MeV,E_total_MeV
pp (two protons),-116.1,0.16780775608516926,846.3676242617628,8.581036902013718,854.9486611637765
pp (two protons),-116.1,0.17004992358187931,823.6323858130679,8.467892940378825,832.1002787534468
pp (two protons),-116.1,0.17232204985523106,801.3597184830116,8.35624082130336,809.715959304315
pp (two protons),-116.1,0.17462453520016194,779.5432468931988,8.24606087432334,787.7893077675221
pp (two protons),-116.1,0.1769577852601602,758.1766302716835,8.137333688336707,766.3139639600203
pp (two protons),-116.1,0.1793222110987296,737.2535619581511,8.030040108183542,745.2836020663347
pp (two protons),-116.1,0.18171822927180903,716.7677689844361,7.924161231271387,724.6919302157074
pp (two protons),-116.1,0.18414626190115993,696.7130117301006,7.819678404245056,704.5326901343457
pp (two protons),-116.1,0.18660673674873413,677.0830836526181,7.716573219700347,684.7996568723185
pp (two protons),-116.1,0.18910008729203548,657.8718110914726,7.614827512941094,665.4866386044138
pp (two protons),-116.1,0.19162675280048813,639.0730531452757,7.514423358778985,646.5874765040547
pp (two protons),-116.1,0.1941871784128256,620.6807016207802,7.4153430683755595,628.0960446891557
pp (two protons),-116.1,0.19678181521551352,602.6886810524759,7.3175691861258585,610.0062502386018
pp (two protons),-116.1,0.19941112032222075,585.0909487912033,7.221084486583151,592.3120332777864
pp (two protons),-116.1,0.2020755569543517,567.8814951600577,7.125871971424225,575.0073671314819
pp (two protons),-116.1,0.20477559452265495,551.054343675605,7.031914866454687,558.0862585420597
pp (two protons),-116.1,0.20751170870992247,534.603551332267,6.939196618653742,541.5427479509208
pp (two protons),-116.1,0.21028438155479381,518.5232089475255,6.847700893257937,525.3709098407835
pp (two protons),-116.1,0.21309410153667968,502.8074415654148,6.757411570883367,509.5648531362982
pp (two protons),-116.1,0.21594136366182048,487.45040891560143,6.668312744685826,494.11872166028724
pp (two protons),-116.1,0.2188266695504949,472.4463059251809,6.580388717558388,479.0266946427393
pp (two protons),-116.1,0.22175052752539323,457.78936328018403,6.493623999365956,464.28298727955
pp (two protons),-116.1,0.22471345270117224,443.47384803362297,6.408003304216253,449.88185133783924
pp (two protons),-116.1,0.22771596707520592,429.4940642568133,6.323511547766824,435.81757580458014
pp (two protons),-116.1,0.23075859961954898,415.84435373057454,6.240133844567525,422.0844875751421
pp (two protons),-116.1,0.23384188637412942,402.5190966728221,6.157855505438061,408.6769521782602
pp (two protons),-116.1,0.23696637054118613,389.5127124989865,6.076662034880093,395.5893745338666
pp (two protons),-116.1,0.2401326025809682,376.8196606116355,5.996539128523481,382.816199740159
pp (two protons),-116.1,0.24334114030871282,364.4344412156104,5.91747267060619,370.35191388621655
pp (two protons),-116.1,0.2465925489929194,352.35159615497855,5.839448731487427,358.191044886466
pp (two protons),-116.1,0.24988740145493654,340.5657097680653,5.762453565193564,346.32816333325883
pp (two protons),-116.1,0.25322627816987947,329.0714097568509,5.686473606996424,334.7578833638473
pp (two protons),-116.1,0.2566097673688959,317.86336806701433,5.611495471023504,323.4748635380378
pp (two protons),-116.1,0.2600384651427988,306.9363017749545,5.537505947899689,312.4738077228542
pp (two protons),-116.1,0.2635129755470832,296.2849739781643,5.464492002420081,301.7494659805844
pp (two protons),-116.1,0.26703391070834676,285.9041946853747,5.392440771253495,291.2966354566282
pp (two protons),-116.1,0.2706018909321318,275.7888217030038,5.321339560676257,281.1101612636801
pp (two protons),-116.1,0.27421754481220845,265.93376151449525,5.251175844335857,271.1849373588311
pp (two protons),-116.1,0.2778815093413181,256.33397014925026,5.181937261044114,261.5159074102944
pp (two protons),-116.1,0.2815944300233967,246.98445403798019,5.113611612599414,252.0980656505796
pp (two protons),-116.1,0.2853569609872968,237.8802708514188,5.046186861637684,242.9264577130565
pp (two protons),-116.1,0.28916976510202996,229.01653031947103,4.9796511295116925,233.99618144898272
