sigma_pS_tube,sigma_aS,sigma_eff,config,r_fm,V_MeV
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),6.600075022827095,0.9126245513134563
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),6.715334791115142,0.8810981018709754
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),6.832607387157402,0.8506589319654267
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),6.951927961775605,0.8212698178967912
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),7.073332279644439,0.7928948048493112
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),7.196856730011517,0.7654991637866715
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),7.322538337604533,0.7390493498085107
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),7.450414773728913,0.7135129619130112
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),7.580524367559261,0.6888587041225946
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),7.712906117627992,0.6650563479247467
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),7.847599703514611,0.6420766959845423
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),7.984645497739087,0.6198915470849897
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),8.124084577862966,0.5984736622569926
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),8.265958738801809,0.5777967320541393
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),8.410310505352605,0.5578353449388942
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),8.557183144940007,0.5385649567374458
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),8.706620680585127,0.5199618611322876
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),8.858667904100823,0.5020031611543345
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),9.013370389517434,0.48466674164160395
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),9.17077450674293,0.46793124263172103
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),9.330927435461664,0.45177603365755203
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),9.493877179275826,0.4361811889157252
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),9.659672580093833,0.4211274632752975
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),9.828363332770026,0.4065962691031473
